simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_mean,5429.920926849203,4795.965222046943,13.218521725052964,13.218521725052964,633.9557048022598,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_p90,5452.4464,4829.138722736388,12.90722244794864,12.90722244794864,623.3076772636114,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_p99,5454.40314,7300.831228913769,25.290655694125448,-25.290655694125448,1846.428088913769,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_mean,49.66143277482632,63.891825703710005,22.27263467923936,-22.27263467923936,14.23039292888368,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_p90,57.5428,63.830506056547165,9.850628555219211,-9.850628555219211,6.287706056547165,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_p99,62.878,383.0766840651668,83.586054015936,-83.586054015936,320.1986840651668,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,itl_mean,21.779127506373992,19.377099505076345,12.39622060395764,12.39622060395764,2.402028001297648,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_mean,5625.924078101071,5135.707503015564,9.545258852800009,9.545258852800009,490.21657508550743,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_p90,5786.1446000000005,5251.034655235708,10.190562049152442,10.190562049152442,535.1099447642928,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_p99,5788.61794,5473.958572121338,5.748296479283023,5.748296479283023,314.6593678786621,9,H100,1.0,True,0.9,FP16,2,2048
