simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,itl_mean,0.4713969720658745,19.360742128596165,97.56519161850925,-97.56519161850925,18.88934515653029,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_mean,131.4222840909091,4675.230160187726,97.1889665409407,-97.1889665409407,4543.807876096817,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_p90,170.268,4831.558039489028,96.47591939063189,-96.47591939063189,4661.290039489028,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_p99,186.79764000000003,4999.0784895047545,96.26335852913353,-96.26335852913353,4812.280849504755,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_mean,17.04350071022727,58.854975121278486,71.04152932677846,-71.04152932677846,41.811474411051215,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_p90,46.618199999999995,63.862099999096245,27.001774134173917,-27.001774134173917,17.24389999909625,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_p99,55.797,69.99859479532462,20.288399841239645,-20.288399841239645,14.201594795324624,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,itl_mean,0.4649544039865114,19.053045866671635,97.5596846444388,-97.5596846444388,18.588091462685124,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,e2e_mean,216.30826750000003,4684.723604656756,95.38268880398871,-95.38268880398871,4468.415337156756,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,e2e_p90,361.199,4844.859253242612,92.54469570487,-92.54469570487,4483.660253242612,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,e2e_p99,361.199,5301.9717646949075,93.18745900524831,-93.18745900524831,4940.772764694908,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,ttft_mean,55.593028999999994,60.509117330139915,8.124541469209618,-8.124541469209618,4.916088330139921,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,ttft_p90,132.613,63.41933971270919,109.10498374902578,109.10498374902578,69.19366028729081,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,ttft_p99,193.042,85.34700736403519,126.18484931358816,126.18484931358816,107.6949926359648,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,0,itl_mean,0.642860954,18.727697631163476,96.56732521711446,-96.56732521711446,18.084836677163477,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,e2e_mean,216.3082675,4684.723604656756,95.38268880398871,-95.38268880398871,4468.415337156756,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,e2e_p90,361.199,4844.859253242612,92.54469570487,-92.54469570487,4483.660253242612,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,e2e_p99,361.199,5301.9717646949075,93.18745900524831,-93.18745900524831,4940.772764694908,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,ttft_mean,55.593029,60.509117330139915,8.124541469209607,-8.124541469209607,4.916088330139914,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,ttft_p90,132.613,63.41933971270919,109.10498374902578,109.10498374902578,69.19366028729081,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,ttft_p99,193.042,85.34700736403519,126.18484931358816,126.18484931358816,107.6949926359648,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,-1,itl_mean,0.642860954,18.727697631163476,96.56732521711446,-96.56732521711446,18.084836677163477,11,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,12-mixtral-8x7b-tp2-reasoning,mistralai/Mixtral-8x7B-v0.1,reasoning,0,e2e_mean,1536.035858570715,156420.998563541,99.01801172945028,-99.01801172945028,154884.9627049703,12,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,12-mixtral-8x7b-tp2-reasoning,mistralai/Mixtral-8x7B-v0.1,reasoning,0,e2e_p90,2151.953,271321.0081025027,99.20686090065426,-99.20686090065426,269169.0551025027,12,H100,1.0,True,0.9,FP16,2,2048
